genero,nome,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
M,TIAGO LIMA MITRAUD DE CASTRO LEITE,15/08/1986,92,0,0,107,0,7,"33.763,00",0,"27.647,47","3.566,57","3.135,34","2.309,40","2.560,68","8.067,83","4.398,55","2.855,86","216,89","191,77","344,58",0,0,34798.86,31959.96,43996.79,52593.1,55384.47,56148.88,53361.59,43944.69,14691.41,21331.71,0,0,408211.46
M,Tiago Dimas Braga Pereira,04/08/1988,89,0,3,9,0,1,"33.763,00",0,"340.652,78","25.207,06","42.885,58","64.235,29","54.312,34","20.107,35","27.029,27","25.908,66","11.604,28","48.026,14","14.528,62","6.808,19",0,111006.97,109190.74,109190.74,109190.74,108805.07,110517.32,111287.52,109789.26,103714.49,110484.48,0,0,1093177.33
M,STEFANO AGUIAR DOS SANTOS,03/03/1976,75,10,7,7,7,9,"33.763,00",1,"290.738,03","32.277,66","34.395,67","41.449,67","37.761,02","36.140,38","32.186,87","29.189,44","19.927,58","17.465,41","9.443,71","500,62",0,111507.96,111507.96,111507.96,111507.96,111507.96,109724.62,109724.62,109724.62,109724.62,108781.88,0,0,1105220.1600000001
M,CARLOS TITO MARQUES CORDEIRO,17/11/1976,92,0,0,27,0,7,"33.763,00",0,"281.519,71","30.501,30","31.777,19","30.293,06","31.159,96","81.946,39","12.029,60","20.240,56","18.796,03","10.779,49","12.938,08","1.058,05",0,111587.05,111587.05,111587.05,111564.01,111498.03,111550.67,111550.67,111550.67,111550.67,111550.68,0,0,1115576.5500000003
M,ANTONIO WANDSCHEER,31/08/1950,81,4,7,3,0,2,"33.763,00",0,"306.818,62","41.777,79","39.307,55","48.754,02","48.076,79","33.128,88","24.222,67","17.864,61","13.310,97","5.376,98","34.422,79","575,57",0,111665.71,111665.71,111665.71,111665.71,106352.43,103305.77,105808.24,109253.63,109427.39,109427.39,0,0,1090237.69
M,FRANCISCO TADEU BARBOSA DE ALENCAR,08/04/1963,82,9,1,43,15,39,"33.763,00",0,"382.090,82","33.136,04","35.605,24","47.956,40","52.313,50","53.943,06","36.506,38","38.165,37","29.185,97","35.584,92","18.975,43","718,51",0,82100.84,82100.84,82100.84,82100.84,83823.55,94672.9,99931.87,102657.96,102657.96,101108.43,0,0,913256.0299999998
M,FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,01/05/1965,69,21,2,4,8,8,"33.763,00",0,"193.770,82","10.744,18","20.999,68","20.819,91","22.736,94","28.371,73","25.748,36","27.555,21","15.056,32","13.606,42","8.132,07",0,0,111143.93,111143.93,111048.44,111598.88,111598.88,111598.88,111598.88,105364.04,104696.02,104696.02,0,0,1094487.9000000001
M,TÚLIO GADÊLHA SALES DE MELO,12/11/1987,84,8,0,53,16,61,"33.763,00",0,"384.141,87","22.201,56","33.060,63","55.862,54","51.086,03","59.826,44","34.741,72","31.903,99","31.005,22","24.904,26","33.878,06","5.671,42",0,111435.4,110985.67,111288.65,110232.48,111665.84,110955.1,108096.17,108686.96,111593.09,109795.26,0,0,1104734.6199999999
M,VANDER LUIZ DOS SANTOS LOUBET,22/01/1964,87,3,2,13,1,9,"33.763,00",0,"319.847,50","49.425,10","33.721,13","37.451,17","39.976,96","41.545,38","38.451,69","27.215,78","9.051,50","4.483,21","37.732,84","792,74",0,107579.85,107298.47,107298.47,110642.16,111659.8,111659.8,111659.8,111659.8,111659.8,111659.8,0,0,1102777.7500000002
M,FRANCISCO VAIDON OLIVEIRA,02/04/1975,54,4,3,3,2,8,"33.763,00",0,"237.834,41","23.778,48","42.615,45","43.405,02","40.762,03","60.084,33","222,00","309,08","26.030,00","628,02",0,0,0,111635.46,110860.77,111028.88,109585.62,105419.03,105124.91,111562.77,111562.77,111562.77,106932.0,0,0,1095274.98
M,VALMIR CARLOS DA ASSUNÇÃO,17/12/1964,83,7,2,13,2,9,"33.763,00",0,"363.239,05","44.395,14","46.537,39","44.131,60","48.258,75","36.050,94","38.814,68","34.071,61","34.806,12","17.856,95","18.203,94","111,93",0,111617.19,111617.19,111476.5,111617.19,111617.19,110585.18,104425.66,106305.67,111392.75,111392.75,0,0,1102047.27
M,ULDURICO ALENCAR PINTO,30/01/1992,77,10,5,5,6,12,"33.763,00",0,"401.869,80","5.676,51","39.129,50","29.853,85","79.759,43","19.410,55","25.244,16","35.620,95","73.478,81","37.352,03","10.205,83","46.138,18",0,109183.02,109663.55,110707.3,109378.89,108692.27,109378.89,109378.89,109378.89,110140.36,110270.55,0,0,1096172.61
M,WAGNER BACH MARTINS,03/06/1982,82,2,8,16,6,10,"33.763,00",0,"300.552,93","13.175,53","18.160,99","88.174,09","31.772,02","23.536,01","37.453,18","15.004,74","9.936,45","3.587,11","59.602,81","150,00",0,111032.85,108426.5,110051.36,111574.66,111574.66,111324.34,111574.66,111574.66,111574.66,111574.66,0,0,1110283.01
M,VANDERLEI MACRIS,20/05/1950,83,4,5,24,5,10,"33.763,00",0,"387.872,53","58.359,31","41.010,69","35.983,56","33.429,65","34.362,74","43.973,37","39.405,44","37.712,64","27.149,77","36.103,24","382,12",0,109269.77,108453.91,111586.33,111659.71,111659.71,111659.71,107850.57,109854.64,109269.77,108848.68,0,0,1100112.8
M,NELSI COGUETTO MARIA,01/03/1959,85,3,4,16,0,3,"33.763,00",0,"367.848,95","40.396,46","36.014,91","46.849,79","40.603,35","52.721,83","37.782,35","27.881,30","18.738,35","27.472,39","37.393,54","1.994,68",0,110519.15,108830.28,109428.11,104631.08,109592.25,110331.11,110331.11,110588.22,111659.52,111659.52,0,0,1097570.3499999999
M,VICENTE PAULO DA SILVA,08/04/1956,83,7,2,19,2,14,"33.763,00",0,"302.994,99","13.501,99","33.730,27","71.585,86","35.951,02","45.465,67","34.562,44","36.569,02","17.307,06","5.656,42","8.665,24",0,0,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,111508.02,0,0,1115080.2
M,VICENTE ALVES DE OLIVEIRA JUNIOR,11/04/1985,69,0,23,15,0,23,"33.763,00",0,"407.540,10","37.276,44","39.572,89","42.368,97","39.808,60","30.327,75","41.871,00","42.317,27","33.618,36","50.378,82","50.000,00",0,0,111477.7,110881.51,111497.27,111034.88,111354.02,111014.26,108081.62,98361.27,100031.52,96342.33,0,0,1070076.3800000001
M,VINICIUS RAPOZO DE CARVALHO,07/01/1966,79,13,0,9,5,10,"33.763,00",1,"340.728,76","41.672,56","39.581,43","57.042,94","42.691,74","36.753,20","39.290,07","35.365,86","18.744,31","15.224,99","13.958,27","403,39",0,103616.36,103616.36,103616.36,103616.36,104709.37,105399.7,107051.56,110786.16,110786.16,110153.37,0,0,1063351.7600000002
