genero,nome,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_gab
F,NATÁLIA BASTOS BONAVIDES,15/06/1988,86,6,0,16,4,15,"33.763,00",1,"339.385,80","31.946,09","31.413,95","72.688,49","54.961,85","61.905,75","41.735,22","31.051,52","7.935,30","2.706,85","2.967,78","73,00",0,106600.62,90902.3,96132.21,102664.33,98979.97,99242.75,104019.87,107795.14,111410.75,111213.52,0,0,1028961.4600000001
F,MARINA SANTOS BATISTA DIAS,13/09/1980,90,2,0,6,1,12,"33.763,00",0,"357.545,02","23.811,47","41.587,12","38.764,57","41.760,61","35.827,39","43.099,71","38.934,07","25.951,64","26.865,00","39.929,24","1.014,20",0,111495.88,111495.88,111311.17,111495.87,111185.14,111495.87,111495.88,111495.88,111495.88,111495.88,0,0,1114463.33
F,KATIA DA SILVA SASTRE,04/04/1976,91,0,1,38,0,19,"33.763,00",0,"373.876,63","34.893,09","34.694,24","64.166,28","35.385,20","36.339,70","38.923,80","34.961,86","43.018,05","29.335,74","22.064,62","94,05",0,107322.54,104138.84,105140.2,105895.02,105351.11,96070.39,98655.82,111265.29,111265.29,110985.86,0,0,1056090.3600000003
F,NORMA AYUB ALVES,07/09/1959,,,,,,,"33.763,00",0,"283.058,92","19.354,87","22.480,29","25.213,93","34.202,81","34.648,47","33.963,01","31.584,22","23.186,05","21.829,52","33.681,50","2.914,25",0,109263.62,109263.62,109371.25,108682.13,108282.54,109497.38,106962.54,107480.28,107282.54,110694.2,0,0,1086780.1
F,MARIA AUXILIADORA SEABRA REZENDE,01/10/1964,71,0,3,69,3,41,"33.763,00",0,"244.204,17","20.187,34","51.058,21","42.305,79","52.041,49","47.722,61","22.610,88","8.277,85",0,0,0,0,0,97131.95,97131.95,102063.65,104981.11,97310.99,99796.88,102973.35,109375.33,111544.35,111545.52,0,0,1033855.08
F,PATRICIA LIMA FERRAZ,09/01/1980,10,0,0,0,0,0,"33.763,00",0,"61.594,97","7.370,23","52.876,43","1.348,31",0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
F,MARIA PERPÉTUA DE ALMEIDA,28/12/1964,86,4,2,56,8,27,"33.763,00",1,"397.294,72","40.876,75","38.531,07","65.864,03","66.620,97","53.571,92","37.080,29","43.254,26","14.245,86","16.783,06","19.979,66","486,85",0,111465.58,106860.33,104769.12,111544.45,111544.45,111544.45,111499.84,111405.91,111429.19,111429.19,0,0,1103492.51
F,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,21/06/1973,91,0,1,34,0,7,"33.763,00",0,"372.925,42","73.518,31","24.414,79","47.486,37","49.562,35","28.947,17","39.390,78","27.825,99","17.943,62","7.350,58","50.485,46","6.000,00",0,111465.49,111400.5,110738.38,111378.13,111439.63,111111.26,111351.62,111476.44,111465.5,111483.67,0,0,1113310.6199999999
F,DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,30/01/1986,67,17,8,24,13,16,"33.763,00",0,"221.802,92","24.757,35","14.536,29","33.354,13","32.630,75","38.636,18","25.835,19","21.096,42","20.196,27","4.322,45","6.205,76","232,13",0,103819.39,108270.5,109719.5,110069.34,110134.52,109472.23,110404.13,110404.13,110398.05,108576.72,0,0,1091268.51
F,ELIZA VIRGINIA DE SOUZA FERNANDES,02/04/1972,16,0,1,8,0,3,"33.763,00",0,"134.550,51","5.603,62","34.615,41","16.715,86","59.255,50","18.360,12",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0
F,ROSA NEIDE SANDES DE ALMEIDA,08/08/1963,88,3,1,40,4,5,"33.763,00",1,"369.889,43","35.689,04","50.953,17","66.922,03","36.747,44","42.534,13","32.039,17","23.335,58","18.867,29","10.899,48","31.367,91","20.534,19",0,111574.65,110892.89,108386.56,109037.91,110196.13,109389.74,109971.9,109688.57,109645.72,111202.48,0,0,1099986.55
F,ÉRIKA JUCÁ KOKAY,15/08/1957,90,1,1,132,1,16,"33.763,00",0,"220.065,03","21.175,36","26.961,36","57.030,55","8.623,76","69.810,79","1.267,02","375,92","393,19","354,58","33.212,46","860,04",0,106905.18,108909.18,111417.57,111495.83,111623.02,111495.84,110449.2,109666.7,111532.23,111473.53,0,0,1104968.2799999998
F,ELCIONE THEREZINHA ZAHLUTH BARBALHO,05/10/1944,74,8,10,11,3,15,"33.763,00",0,"324.749,25","18.282,77","21.903,47","42.172,90","54.698,46","50.424,42","44.680,57","25.428,51","30.182,96","15.955,03","18.147,74","2.872,42",0,109942.97,108266.63,106606.75,106963.42,110173.43,110012.89,110173.43,111342.81,111617.17,105768.72,0,0,1090868.2200000002
F,FERNANDA MELCHIONNA E SILVA,02/02/1984,88,1,3,54,0,9,"33.763,00",0,"305.160,05","20.500,17","21.194,89","56.736,14","41.442,21","70.363,57","28.035,03","34.736,50","7.126,13","2.302,50","17.867,64","4.855,27",0,108969.03,110770.2,111295.57,111471.67,111471.67,111005.21,108790.95,108173.01,107268.84,100470.41,0,0,1089686.5599999998
F,REJANE RIBEIRO SOUSA DIAS,04/09/1972,90,0,2,65,0,33,"33.763,00",0,"241.957,13","16.913,54","23.065,31","34.072,61","41.316,06","35.393,20","27.658,11","30.276,40","10.634,60","10.120,33","11.597,34","909,63",0,94123.29,94123.29,94123.29,96640.01,103386.0,97900.48,110730.33,111077.25,111077.25,109208.19,0,0,1022389.3799999999
F,FLÁVIA CAROLINA PÉRES,21/01/1980,60,5,4,0,1,3,"33.763,00",0,"97.678,83","6.864,73","10.563,71","18.634,34","15.284,18","16.185,53","14.441,81","15.704,53",0,0,0,0,0,0.0,0.0,1906.24,70338.95,79195.45,81408.68,85648.32,88827.97,88827.97,88827.97,0,0,584981.5499999999
F,Geovânia de Sá,30/03/1972,91,1,0,15,0,0,"33.763,00",0,"308.059,34","24.548,31","31.895,95","46.155,40","48.301,66","38.575,18","41.038,25","24.556,46","10.926,74","3.937,68","25.683,39","12.440,32",0,111111.81,111610.95,111659.69,111659.69,110768.99,110692.78,103468.98,111168.24,111168.24,106547.85,0,0,1099857.22
F,FLÁVIA CARREIRO ALBUQUERQUE MORAIS,26/04/1969,86,6,0,123,4,0,"33.763,00",0,"296.315,47","31.961,04","33.702,59","35.431,93","33.636,11","33.829,17","29.972,17","26.739,93","26.234,48","22.945,49","21.783,99","78,57",0,110555.68,110555.68,110555.68,110555.68,111091.22,110994.42,111182.0,111580.78,111580.78,111580.78,0,0,1110232.7
F,GLEISI HELENA HOFFMANN,06/09/1965,66,26,0,3,1,4,"33.763,00",0,"373.767,14","48.759,04","47.652,40","59.416,08","55.375,62","43.129,42","20.852,42","26.211,68","23.293,93","17.899,82","29.734,54","1.442,19",0,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,0,0,1115264.2000000002
F,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,23/04/1966,35,4,0,0,0,0,"33.763,00",0,"160.103,58","33.126,14","37.905,45","54.717,25","799,73","17.561,17","8.098,80","9.441,57","52,93",0,0,0,0,111653.55,110382.33,111176.32,111235.02,111235.02,111235.02,111235.02,111235.02,111304.78,111653.55,0,0,1112345.6300000001
F,JANDIRA FEGHALI,17/05/1957,91,0,1,41,0,28,"33.763,00",0,"304.962,13","16.677,60","41.606,05","42.043,96","41.561,42","33.766,08","35.266,15","30.544,63","18.967,72","23.146,67","20.529,15","852,70",0,111186.43,110346.75,110883.15,110883.15,110883.15,110883.15,106843.71,109640.24,105683.13,103792.22,0,0,1091025.08
